What is your age?;What is your gender?;I am a student in the:;How familiar are you with R?;What is (are) your specialization(s)?;Where are you from?
18 - 24;Female;Behavioural Data Science Master;I have some experience working with R;Brain and Cognition;
18 - 24;Female;Psychology Research Master;I have some experience working with R;Brain and Cognition;
18 - 24;Male;Psychology Research Master;I have some experience working with R;Research Methods;
25 - 34;Female;Psychology Research Master;I have some experience working with R;Developmental Psychology;
18 - 24;Male;Behavioural Data Science Master;I have a lot of experience working with R;Research Methods;
18 - 24;Female;Psychology Research Master;I have very little experience working with R;Research Methods;
18 - 24;Female;Behavioural Data Science Master;I have some experience working with R;Research Methods;
18 - 24;Female;Psychology Research Master;I have no experience working with R;Social Psychology;
18 - 24;Female;Psychology Research Master;I have some experience working with R;Brain and Cognition;
18 - 24;Male;Behavioural Data Science Master;I have a lot of experience working with R;BDS;
18 - 24;Female;Psychology Research Master;I have some experience working with R;Work and Organizational Psychology;
25 - 34;Male;Psychology Research Master;I have a lot of experience working with R;Research Methods;
18 - 24;Male;Behavioural Data Science Master;I have a lot of experience working with R;Research Methods;
18 - 24;Female;Behavioural Data Science Master;I have a lot of experience working with R;Research Methods;
35 - 44;Female;Behavioural Data Science Master;I have some experience working with R;Research Methods;Romania
18 - 24;Female;Psychology Research Master;I have a lot of experience working with R;Research Methods;The Netherlands
18 - 24;Female;Psychology Research Master;I have some experience working with R;Research Methods;Germany
25 - 34;Female;Psychology Research Master;I have some experience working with R;Clinical Psychology;
18 - 24;Female;Psychology Research Master;I have some experience working with R;Developmental Psychology;Netherlands
18 - 24;Female;Psychology Research Master;I have a lot of experience working with R;Research Methods;Amsterdam
18 - 24;Female;Psychology Research Master;I have no experience working with R;Social and Methods;Den Haag (Netherlands)
25 - 34;Male;Psychology Research Master;I have a lot of experience working with R;Research Methods;Nederland
18 - 24;Male;Behavioural Data Science Master;I have a lot of experience working with R;Research Methods;Oudkarspel, the Netherlands
18 - 24;Female;Behavioural Data Science Master;I have very little experience working with R;Research Methods;Munich, Germany
25 - 34;Female;Psychology Research Master;I have some experience working with R;Social Psychology;Germany
18 - 24;Female;Behavioural Data Science Master;I have some experience working with R;BDS;India
18 - 24;Female;Psychology Research Master;I have very little experience working with R;Clinical Psychology;Italy
18 - 24;Female;Psychology Research Master;I have some experience working with R;Research Methods;China
18 - 24;Female;Psychology Research Master;I have some experience working with R;Social Psychology;Netherlands
18 - 24;Female;Behavioural Data Science Master;I have a lot of experience working with R;Behavioural data science;Thailand
18 - 24;Female;Behavioural Data Science Master;I have some experience working with R;Research Methods;Netherlands
25 - 34;Male;Psychology Research Master;I have some experience working with R;Research Methods;The Netherlands
18 - 24;Male;Psychology Research Master;I have some experience working with R;Research Methods;Hungary
25 - 34;Male;Contract student;I have some experience working with R;Work and Organizational Psychology;Netherlands
18 - 24;Male;Behavioural Data Science Master;I have a lot of experience working with R;Research Methods;Netherlands
25 - 34;Male;Behavioural Data Science Master;I have a lot of experience working with R;Methods;Germany
18 - 24;Female;Behavioural Data Science Master;I have some experience working with R;Research Methods;Nederland
25 - 34;Female;Psychology Research Master;I have some experience working with R;Developmental Psychology;China
18 - 24;Female;Psychology Research Master;I have some experience working with R;Brain and Cognition;The Netherlands
18 - 24;Male;Behavioural Data Science Master;I have some experience working with R;Econometrics;USA/Israel
25 - 34;Male;Behavioural Data Science Master;I have a lot of experience working with R;Research Methods;Milky Way
25 - 34;Male;Psychology Research Master;I have a lot of experience working with R;Research Methods;Denmark
25 - 34;Female;Behavioural Data Science Master;I have a lot of experience working with R;behavioral data science;Taiwan
25 - 34;Female;Psychology Research Master;I have some experience working with R;Brain and Cognition;Germany
25 - 34;Female;Psychology Research Master;I have some experience working with R;Clinical Psychology;Switzerland
25 - 34;Female;Behavioural Data Science Master;I have some experience working with R;Research Methods;Amsterdam
25 - 34;Female;Psychology Research Master;I have some experience working with R;Brain and Cognition;Hungary
18 - 24;Female;Behavioural Data Science Master;I have some experience working with R;Research Methods;Hungary 